Competitor,Starting Position,S1,Total,S1 Diff,Total Diff,Place
ROKiT VENTURI RACING,12,9.41,15.29,0.00,0.00,1
MERCEDES-BENZ EQ,7,9.58,15.34,0.17,0.05,2
NIO 333,8,9.63,15.38,0.22,0.09,3
DS TECHEETAH,3,9.52,15.53,0.11,0.24,4
TAG HEUER PORSCHE,11,9.87,16.07,0.46,0.78,5
MAHINDRA RACING,6,10.12,16.11,0.71,0.82,6
GEOX DRAGON,5,10.20,16.18,0.79,0.89,7
AUDI SPORT ABT SCHAEFFLER,1,10.30,16.25,0.89,0.96,8
NISSAN E.DAMS,9,10.20,16.30,0.79,1.01,9
BMW I ANDRETTI MOTORSPORT,2,10.85,17.04,1.44,1.75,10
PANASONIC JAGUAR RACING,10,10.57,17.05,1.16,1.76,11
ENVISION VIRGIN RACING,4,10.77,17.09,1.36,1.80,12
,,,,,,
,,,,,,
,,9.30,,-0.11,,
,,,,,,
