Abbr,Team Name,Marble,Starting Position,Lap 1,Laps 1-2,Laps 1-3,Laps 1-4,Laps 1-5,Laps 1-6,Laps 1-7,Laps 1-8,Laps 1-9,Laps 1-10,Diff,Place,New Points,Total Points
GAL,Team Galactic,Starry,2,0:28.20,1:01.07,1:34.26,2:06.93,2:39.61,3:11.76,3:44.95,4:18.10,4:50.68,5:24.42,0.00,1,0,1
HAZ,Hazers,Hazy,9,0:28.35,1:01.76,1:34.47,2:08.48,,3:13.50,3:45.43,4:18.25,4:51.98,5:24.47,0.05,2,0,2
PRM,Team Primary,Prim,7,0:28.56,1:01.93,1:33.13,2:05.79,2:39.05,3:12.42,3:45.05,4:18.60,4:50.98,5:25.83,1.41,4,0,3
SNO,Snowballs,Snowy,5,0:28.70,1:00.93,1:33.05,2:06.02,2:39.52,3:12.49,3:46.71,4:21.42,4:53.04,5:24.94,0.52,3,0,4
SAV,Savage Speeders,Speedy,16,0:29.64,1:02.85,1:33.63,2:06.84,,,3:48.96,,,5:27.92,3.50,5,0,5
ORA,O'rangers,Clementin,1,0:28.43,1:01.62,,,,,3:49.23,4:22.38,,5:28.32,3.90,6,0,6
RSP,Raspberry Racers,Razzy,6,0:29.00,1:02.62,,,,,3:49.30,,,5:30.61,6.19,7,0,7
GDK,Green Ducks,Mallard,10,0:29.36,1:02.26,,2:08.38,,,,,,5:31.42,7.00,8,0,8
MNW,Midnight Wisps,Wispy,11,0:30.95,,,,,,,,,5:34.46,10.04,10,0,9
MYL,Mellow Yellow,Yellow,4,0:29.05,1:02.10,,,,,,,,5:34.43,10.01,9,0,10
HOR,Hornets,Vespa,8,0:29.16,1:03.13,,,,,,,,5:36.77,12.35,13,0,11
BOC,Balls of Chaos,Clutter,15,0:30.99,,,,,,,,,5:35.28,10.86,11,0,12
MOM,Team Momo,Momo,3,0:30.83,,,,,,,,,5:36.50,12.08,12,0,13
ROJ,Rojo Rollers,Rojo Uno,12,0:31.08,1:03.36,,,,,,,,5:36.81,12.39,14,0,14
TBO,Thunderbolts,Shock,13,,,,,,,,,,5:38.46,14.04,15,0,15
LMR,Limers,Sublime,14,0:30.71,,,,,,,,,5:39.98,15.56,16,0,16
