Abbr,Team Name,Marble,Starting Position,Lap 1,Laps 1-2,Laps 1-3,Laps 1-4,Laps 1-5,Laps 1-6,Laps 1-7,Laps 1-8,Laps 1-9,Laps 1-10,Diff,Place,New Points,Total Points
GAL,Team Galactic,Starry,2,0:28.20,1:01.07,1:34.26,2:06.93,2:39.61,3:11.76,3:44.95,4:18.07,4:50.67,5:24.42,0.00,1,25,25
HAZ,Hazers,Hazy,9,0:28.35,1:01.76,1:34.47,2:08.48,,3:13.50,3:45.43,4:18.22,4:51.99,5:24.47,0.05,2,18,18
SNO,Snowballs,Snowy,5,0:28.70,1:00.93,1:33.05,2:06.02,2:39.52,3:12.49,3:46.71,4:21.45,4:53.04,5:24.94,0.52,3,15,15
PRM,Team Primary,Prim,7,0:28.56,1:01.93,1:33.13,2:05.79,2:39.05,3:12.42,3:45.05,4:18.57,4:50.98,5:25.83,1.41,4,12,12
SAV,Savage Speeders,Speedy,16,0:29.64,1:02.85,1:33.63,2:06.84,,,3:48.96,4:22.88,4:55.71,5:27.92,3.50,5,11,11
ORA,O'rangers,Clementin,1,0:28.43,1:01.62,,,,,3:49.23,4:22.40,4:55.41,5:28.32,3.90,6,8,8
RSP,Raspberry Racers,Razzy,6,0:29.00,1:02.62,,,,,3:49.30,4:23.19,4:56.80,5:30.61,6.19,7,6,6
GDK,Green Ducks,Mallard,10,0:29.36,1:02.26,,2:08.38,,,,4:24.91,4:57.81,5:31.42,7.00,8,4,4
MYL,Mellow Yellow,Yellow,4,0:29.05,1:02.10,,,,,,4:26.31,4:59.89,5:34.43,10.01,9,2,2
MNW,Midnight Wisps,Wispy,11,0:30.95,,,,,,,4:26.12,5:00.99,5:34.46,10.04,10,1,1
BOC,Balls of Chaos,Clutter,15,0:30.99,,,,,,,4:27.98,5:02.17,5:35.28,10.86,11,0,0
MOM,Team Momo,Momo,3,0:30.83,,,,,,,4:30.16,5:04.06,5:36.50,12.08,12,0,0
HOR,Hornets,Vespa,8,0:29.16,1:03.13,,,,,,4:26.37,5:03.42,5:36.77,12.35,13,0,0
ROJ,Rojo Rollers,Rojo Uno,12,0:31.08,1:03.36,,,,,,4:29.59,5:02.30,5:36.81,12.39,14,0,0
TBO,Thunderbolts,Shock,13,,,,,,,,4:30.76,5:04.90,5:38.46,14.04,15,0,0
LMR,Limers,Sublime,14,0:30.71,,,,,,,4:31.55,5:06.21,5:39.98,15.56,16,0,0
