Abbr,Team Name,Marble,Starting Position,Group,Start Time,Checkpoint 1,Checkpoint 2,Final,Place
RJ1,Rojo Rollers,Rojo Uno,1,1,1:00.45,7.03,16.53,22.16,9
MMO,Team Momo,Momo,2,1,1:19.49,6.82,17.26,22.79,13
WIS,Midnight Wisps,Wispy,3,1,1:36.99,6.99,17.14,22.87,14
CLT,Balls of Chaos,Clutter,4,1,1:54.60,6.84,15.65,21.05,2
VSP,Hornets,Vespa,5,1,2:18.94,6.89,18.19,23.75,16
YLW,Mellow Yellow,Yellow,6,1,2:41.02,6.84,16.61,22.20,10
CLM,O'rangers,Clementin,7,1,3:01.19,6.82,16.72,22.29,11
SHK,Thunderbolts,Shock,8,1,3:21.00,6.91,15.76,21.39,6
RAZ,Raspberry Racers,Razzy,9,2,3:58.24,6.68,17.25,22.76,12
SBL,Limers,Sublime,10,2,4:19.92,6.73,15.40,21.12,3
PRI,Team Primary,Prim,11,2,4:43.82,6.68,15.55,21.01,1
SNW,Snowballs,Snowy,12,2,5:06.14,7.29,18.08,23.62,15
STR,Team Galactic,Starry,13,3,5:42.89,6.54,15.88,21.34,5
SPY,Savage Speeders,Speedy,14,3,6:06.95,6.77,15.82,21.41,7
MLR,Green Ducks,Mallard,15,3,6:33.62,6.90,16.04,21.59,8
HZY,Hazers,Hazy,16,3,6:57.55,6.71,15.67,21.12,3
