Abbr,Marble,Team Name,Grid,Start,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Flag,Reset,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Total,New Points,Total Points
YLI,Yellow Eye,Crazy Cat's Eyes,2,0.15,16.34,20.53,21.06,21.05,21.01,21.70,-1.84,16.23,20.20,20.20,20.33,20.84,20.16,20.15,20.01,20.30,21.19,20.19,20.53,20.01,20.47,20.60,20.33,21.23,20.01,8:02.98,25,25
MOM,Momo,Team Momo,11,1.50,15.44,20.81,21.50,20.61,20.70,20.51,-0.92,16.83,20.56,19.86,20.33,21.41,20.00,20.69,20.32,19.98,20.08,19.72,20.78,21.54,20.17,20.39,20.45,20.59,20.16,8:04.01,21,21
MLD,Mallard,Green Ducks,3,0.30,16.87,21.40,20.84,21.43,20.87,21.59,-2.55,16.20,20.02,20.66,20.49,20.49,20.35,19.85,21.03,20.68,20.67,20.76,21.49,20.38,20.39,20.24,20.33,20.52,20.95,8:06.25,16,16
BMB,Bumble,Bumblebees,5,0.60,16.47,20.78,21.25,20.82,21.43,20.97,-2.02,16.66,20.53,20.56,20.80,20.37,20.52,21.10,21.35,20.10,21.12,20.31,20.84,20.99,20.28,20.78,20.46,20.56,20.53,8:08.16,14,14
SNW,Snowy,Snowballs,15,2.10,15.77,22.63,21.26,21.27,21.45,21.73,-4.11,16.68,20.10,20.79,20.28,20.29,20.86,20.47,20.87,20.41,20.72,19.82,20.78,21.67,20.45,20.86,20.29,21.11,19.80,8:08.35,12,12
RAZ,Razzy,Raspberry Racers,6,0.75,16.46,20.73,21.19,20.97,20.91,21.01,-1.57,16.57,20.65,20.78,20.36,20.54,20.27,20.74,21.22,21.57,20.48,20.83,21.30,20.38,21.10,20.46,20.67,20.47,20.68,8:09.52,10,10
YEL,Yellow,Mellow Yellow,13,1.80,16.04,20.91,21.53,21.22,21.96,21.19,-3.00,15.79,21.20,20.39,19.96,20.72,20.60,20.65,21.25,20.63,20.80,20.64,21.03,20.76,21.09,20.71,20.53,21.69,20.52,8:10.61,8,8
SEA,Sea,Oceanics,14,1.95,15.47,21.62,21.43,20.92,21.37,20.71,-2.27,16.17,20.58,20.67,20.80,20.66,21.29,21.09,20.54,20.45,21.00,20.35,19.73,21.21,21.24,21.00,20.89,21.15,21.12,8:11.14,6,6
LML,Limelime,Limers,12,1.65,15.54,21.39,21.71,20.81,21.45,21.44,-2.94,15.69,20.69,20.94,20.58,20.52,20.50,21.43,21.20,20.84,20.82,20.24,21.29,21.02,21.06,20.64,20.65,21.45,20.72,8:11.33,4,4
SHK,Shock,Thunderbolts,10,1.35,16.15,21.88,21.22,21.18,21.30,21.14,-2.87,16.41,21.02,20.88,20.50,21.09,20.96,20.43,21.16,21.28,20.32,20.59,20.78,20.45,21.43,20.22,20.78,21.02,20.73,8:11.40,3,3
PRI,Prim,Team Primary,8,1.05,16.53,20.70,21.37,21.69,21.59,21.20,-2.63,16.01,21.35,21.16,21.22,20.98,20.10,20.75,20.91,21.01,20.69,20.70,21.13,21.60,20.31,20.29,20.37,20.97,20.80,8:11.85,2,2
SMG,Smoggy,Hazers,1,0.00,16.55,21.10,21.59,21.35,21.33,21.02,-2.34,16.51,20.62,20.77,20.61,21.30,20.78,21.25,20.41,20.52,20.58,20.57,21.87,21.12,21.08,19.99,22.22,20.32,20.93,8:12.05,2,2
CLM,Clementin,O'rangers,7,0.90,16.26,21.75,20.70,21.38,21.20,21.18,-2.47,16.36,20.86,20.77,20.99,21.22,20.49,20.64,20.55,20.49,21.38,20.82,21.04,20.44,20.84,20.84,20.81,21.40,21.61,8:12.45,0,0
STR,Starry,Team Galactic,9,1.20,17.14,21.39,21.43,21.74,21.31,21.71,-3.97,15.78,20.35,20.63,20.76,20.66,21.51,20.74,20.41,22.33,20.70,20.70,20.49,21.18,20.53,21.22,21.15,20.35,21.48,8:12.92,0,0
WOS,Wospy,Midnight Wisps,16,2.25,16.34,22.27,20.95,20.97,21.01,22.15,-4.14,16.15,20.70,21.56,20.53,23.35,21.22,20.93,20.92,21.83,21.08,20.82,21.42,20.11,21.06,21.50,21.13,20.47,21.52,8:18.10,0,0
SPY,Speedy,Savage Speeders,4,0.45,16.20,20.92,21.31,20.75,21.28,,,,,,,,,,,,,,,,,,,,,DNF,0,0
