Marble,Team Name,Abbr,Start Order,Q1-S1,Q1-S2,Q1-S3,Q1-Total,Q1-Diff,Q2-L1,Q2-L2,Q2-Total,Q2-Diff,Q3-L1,Q3-L2,Q3-Total,Q3-Diff,Grid
Wispy,Midnight Wisps,WIS,15,9.65,7.60,5.245,22.495,0.000,22.66,25.87,48.53,0.59,23.10,26.26,49.36,0.00,1
Billy,Green Ducks,BLY,16,9.63,7.74,5.188,22.558,0.063,22.16,26.07,48.23,0.29,22.98,26.64,49.62,0.26,2
Pulsar,Team Galactic,PLS,8,9.83,8.31,5.059,23.199,0.704,22.93,26.07,49.00,1.06,23.94,28.22,52.16,2.80,3
Red Eye,Crazy Cat's Eyes,RDI,18,9.43,7.93,6.226,23.586,1.091,22.97,24.97,47.94,0.00,23.88,29.63,53.51,4.15,4
Snowstorm,Snowballs,STM,13,9.61,7.66,5.389,22.659,0.164,24.08,26.15,50.23,2.29,,,,,5
Tumult,Balls of Chaos,TML,12,9.73,7.62,6.102,23.452,0.957,24.36,25.98,50.34,2.40,,,,,6
Cerulean,Kobalts,CER,1,9.80,7.84,5.482,23.122,0.627,23.70,26.86,50.56,2.62,,,,,7
Bolt,Thunderbolts,BLT,9,9.95,8.18,5.508,23.638,1.143,24.86,26.28,51.14,3.20,,,,,8
Rima,Team Primary,RIM,4,9.85,7.31,6.508,23.668,1.173,,,,,,,,,9
Rapidly,Savage Speeders,RPD,20,9.85,8.28,5.746,23.876,1.381,,,,,,,,,10
Orangin,O'rangers,ORN,17,9.46,7.66,6.829,23.949,1.454,,,,,,,,,11
Honey,Bumblebees,HON,2,9.77,8.42,6.261,24.451,1.956,,,,,,,,,12
Skip,Jungle Jumpers,SKP,7,10.31,7.83,6.501,24.641,2.146,,,,,,,,,13
Mimo,Team Momo,MIM,11,9.83,7.87,7.017,24.717,2.222,,,,,,,,,14
Yellup,Mellow Yellow,YLP,14,10.11,7.70,6.967,24.777,2.282,,,,,,,,,15
Ocean,Oceanics,OCN,6,10.01,7.94,6.879,24.829,2.334,,,,,,,,,16
Minty Fresh,Minty Maniacs,FSH,3,11.76,7.58,5.643,24.983,2.488,,,,,,,,,Eliminated
Ruzzy,Raspberry Racers,RUZ,5,9.79,7.73,7.527,25.047,2.552,,,,,,,,,Eliminated
Hazy,Hazers,HZY,19,9.77,7.87,7.518,25.158,2.663,,,,,,,,,Eliminated
Lemonlime,Limers,LEM,10,10.20,7.39,8.364,25.954,3.459,,,,,,,,,Eliminated
